# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wfc3_uvis1_f200lp, datatype: float64}
# - {name: wfc3_uvis1_f300x, datatype: float64}
# - {name: wfc3_uvis1_f350lp, datatype: float64}
# - {name: wfc3_uvis1_f475x, datatype: float64}
# - {name: wfc3_uvis1_f600lp, datatype: float64}
# - {name: wfc3_uvis1_f850lp, datatype: float64}
# - {name: wfc3_uvis1_f218w, datatype: float64}
# - {name: wfc3_uvis1_f225w, datatype: float64}
# - {name: wfc3_uvis1_f275w, datatype: float64}
# - {name: wfc3_uvis1_f336w, datatype: float64}
# - {name: wfc3_uvis1_f390w, datatype: float64}
# - {name: wfc3_uvis1_f438w, datatype: float64}
# - {name: wfc3_uvis1_f475w, datatype: float64}
# - {name: wfc3_uvis1_f555w, datatype: float64}
# - {name: wfc3_uvis1_f606w, datatype: float64}
# - {name: wfc3_uvis1_f625w, datatype: float64}
# - {name: wfc3_uvis1_f775w, datatype: float64}
# - {name: wfc3_uvis1_f814w, datatype: float64}
# - {name: wfc3_ir_f105w, datatype: float64}
# - {name: wfc3_ir_f110w, datatype: float64}
# - {name: wfc3_ir_f125w, datatype: float64}
# - {name: wfc3_ir_f140w, datatype: float64}
# - {name: wfc3_ir_f160w, datatype: float64}
# - {name: jwst_nircam_f070w, datatype: float64}
# - {name: jwst_nircam_f090w, datatype: float64}
# - {name: jwst_nircam_f115w, datatype: float64}
# - {name: jwst_nircam_f150w, datatype: float64}
# - {name: jwst_nircam_f150w2, datatype: float64}
# - {name: jwst_nircam_f200w, datatype: float64}
# - {name: jwst_nircam_f277w, datatype: float64}
# - {name: jwst_nircam_f322w2, datatype: float64}
# - {name: jwst_nircam_f356w, datatype: float64}
# - {name: jwst_nircam_f444w, datatype: float64}
# - {name: jwst_miri_f0560w, datatype: float64}
# - {name: jwst_miri_f0770w, datatype: float64}
# - {name: jwst_miri_f1000w, datatype: float64}
# meta: !!omap
# - comment: [type = Kasen_double, name = gw170817, model1 = knova_d1_n10_m0.035_vk0.15_Xlan1e-2.0.h5, model2 = knova_d1_n50_m0.025_vk0.25_fd0.3_Xlan1e-6.0_vs0.32_ns12.0.h5]
# schema: astropy-2.0
time wfc3_uvis1_f200lp wfc3_uvis1_f300x wfc3_uvis1_f350lp wfc3_uvis1_f475x wfc3_uvis1_f600lp wfc3_uvis1_f850lp wfc3_uvis1_f218w wfc3_uvis1_f225w wfc3_uvis1_f275w wfc3_uvis1_f336w wfc3_uvis1_f390w wfc3_uvis1_f438w wfc3_uvis1_f475w wfc3_uvis1_f555w wfc3_uvis1_f606w wfc3_uvis1_f625w wfc3_uvis1_f775w wfc3_uvis1_f814w wfc3_ir_f105w wfc3_ir_f110w wfc3_ir_f125w wfc3_ir_f140w wfc3_ir_f160w jwst_nircam_f070w jwst_nircam_f090w jwst_nircam_f115w jwst_nircam_f150w jwst_nircam_f150w2 jwst_nircam_f200w jwst_nircam_f277w jwst_nircam_f322w2 jwst_nircam_f356w jwst_nircam_f444w jwst_miri_f0560w jwst_miri_f0770w jwst_miri_f1000w
-1.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
